tactic_id,tactic_name,description
TA0001,Initial Access,Techniques used to gain initial access to a system
TA0002,Execution,Techniques that result in execution of attacker-controlled code
TA0003,Persistence,Techniques used to maintain access to systems across restarts
TA0004,Privilege Escalation,Techniques used to gain higher-level permissions
TA0005,Defense Evasion,Techniques used to avoid detection
TA0006,Credential Access,Techniques for stealing credentials like passwords
TA0007,Discovery,Techniques used to gain knowledge about the system
TA0008,Lateral Movement,Techniques to move through your environment
TA0009,Collection,Techniques used to identify and gather information
TA0010,Command and Control,Techniques for communicating with compromised systems
TA0011,Exfiltration,Techniques used to steal data from your network
TA0040,Impact,Techniques used to manipulate or destroy systems and data
TA0042,Resource Development,Techniques involving acquisition of resources